baserent,balcony,noparkspaces,haskitchen,cellar,livingspace,petsallowed,geo_krs,lift,norooms,floor,garden,energyefficiencyclass
425.0,True,1.0,True,True,25.0,no,Aachen,True,1.0,3.0,False,A
1150.0,True,1.0,False,True,81.0,negotiable,D?sseldorf,True,3.0,0.0,True,B
1001.85,True,1.0,True,True,76.77,yes,Leipzig,True,3.0,2.0,True,B
518.0,True,1.0,False,True,52.0,no,Kleve_Kreis,True,2.0,1.0,False,A_PLUS
1292.85,True,1.0,False,True,105.11,no,Dresden,True,3.0,5.0,False,B
2500.0,True,1.0,False,True,93.0,no,M?nchen,True,3.0,5.0,True,A_PLUS
1200.0,True,2.0,False,False,135.0,no,Darmstadt_Dieburg_Kreis,False,4.0,0.0,False,A_PLUS
810.04,True,1.0,False,True,92.05,negotiable,Augsburg,True,4.0,3.0,False,B
960.89,True,1.0,True,True,76.81,yes,Leipzig,True,3.0,1.0,True,B
922.0,True,1.0,True,True,92.26,negotiable,Bielefeld,True,3.0,2.0,False,B
1450.0,True,1.0,True,False,121.0,no,Wolfsburg,True,3.0,0.0,True,A
584.44,True,1.0,True,True,42.66,yes,Leipzig,True,2.0,4.0,True,B
1240.0,True,1.0,False,True,96.6,no,Bad_T?lz_Wolfratshausen_Kreis,True,3.0,1.0,False,A_PLUS
840.0,True,1.0,False,True,72.0,negotiable,Potsdam_Mittelmark_Kreis,True,2.0,0.0,True,A
1164.0,True,1.0,True,False,93.37,negotiable,Stormarn_Kreis,True,3.0,1.0,False,A
1472.26,True,1.0,False,True,82.02,negotiable,M?nchen,True,3.0,3.0,False,B
549.0,True,1.0,False,True,47.73,no,Mettmann_Kreis,True,2.0,1.0,False,A_PLUS
1390.0,True,1.0,True,True,96.0,no,B?blingen_Kreis,False,4.0,2.0,False,A_PLUS
985.0,True,1.0,True,True,94.0,negotiable,Harburg_Kreis,True,2.0,2.0,False,A_PLUS
1300.0,True,1.0,False,True,105.37,no,Bielefeld,True,3.0,0.0,False,B
682.75,True,1.0,False,True,60.96,no,Dresden,True,2.0,6.0,False,B
1260.0,True,1.0,False,True,95.0,no,F?rstenfeldbruck_Kreis,False,2.0,2.0,False,A
1650.0,True,1.0,False,True,127.0,negotiable,Magdeburg,True,3.0,1.0,False,B
794.24,True,1.0,False,False,72.34,negotiable,Gro?_Gerau_Kreis,True,2.0,3.0,False,B
2300.0,True,1.0,True,True,115.0,no,K?ln,True,3.0,5.0,False,A_PLUS
2655.0,True,1.0,True,True,102.51,negotiable,M?nchen,False,3.0,2.0,False,A_PLUS
1190.0,True,1.0,True,True,108.0,negotiable,Pinneberg_Kreis,True,4.0,2.0,True,A
894.71,True,1.0,False,False,94.18,no,Recklinghausen_Kreis,True,3.5,0.0,True,B
938.7,True,1.0,False,False,93.87,negotiable,Cottbus,True,3.0,1.0,False,A
770.0,True,1.0,False,False,70.0,negotiable,Dresden,False,2.0,1.0,True,A_PLUS
680.0,True,1.0,False,True,68.0,negotiable,Main_Kinzig_Kreis,True,2.0,1.0,False,B
892.0,True,1.0,True,True,83.0,no,Segeberg_Kreis,True,2.0,3.0,False,A_PLUS
1128.5,False,1.0,False,False,61.0,negotiable,F?rstenfeldbruck_Kreis,True,2.0,1.0,False,A
750.0,True,1.0,False,True,62.09,no,Pfaffenhofen_an_der_Ilm_Kreis,False,2.0,1.0,False,B
1175.84,True,1.0,True,False,106.71,negotiable,Leipzig,True,4.0,2.0,True,D
1341.81,True,1.0,False,True,72.53,negotiable,M?nchen,True,2.0,1.0,False,B
2950.0,True,1.0,True,True,94.32,negotiable,M?nchen,True,2.5,12.0,False,A
1715.0,True,1.0,True,True,123.43,negotiable,Hamburg,True,4.0,2.0,True,B
840.0,True,1.0,False,False,65.91,no,Ludwigsburg_Kreis,True,3.0,2.0,False,A_PLUS
1100.0,True,1.0,True,True,44.0,no,M?nchen,True,2.0,1.0,False,B
755.0,True,1.0,False,True,71.78,negotiable,M?nchengladbach,True,2.0,2.0,False,A
990.0,True,1.0,False,True,82.96,negotiable,Wetteraukreis,True,3.0,1.0,False,B
2500.0,True,1.0,True,True,105.21,negotiable,M?nchen,True,2.0,4.0,False,A
442.08,True,1.0,False,False,98.24,negotiable,Rosenheim_Kreis,True,4.0,0.0,False,B
1100.0,True,1.0,True,True,50.0,no,Ebersberg_Kreis,True,2.0,1.0,True,B
830.0,True,1.0,True,True,63.0,negotiable,Main_Taunus_Kreis,True,2.0,1.0,False,B
820.0,True,1.0,False,False,92.9,negotiable,Hannover_Kreis,False,3.0,1.0,False,A_PLUS
775.0,True,9.0,False,True,77.7,negotiable,M?nchengladbach,False,2.0,1.0,False,A_PLUS
1720.0,True,2.0,True,True,132.0,no,B?blingen_Kreis,True,4.0,3.0,False,A
2096.0,True,1.0,True,True,127.0,negotiable,Wetteraukreis,False,4.0,0.0,True,A_PLUS
1198.32,True,1.0,True,True,98.8,yes,Leipzig,True,4.0,2.0,False,C
906.0,True,1.0,True,True,95.2,negotiable,M?hldorf_am_Inn_Kreis,True,3.0,3.0,False,A
1005.0,True,1.0,False,True,88.0,negotiable,Ortenaukreis,True,4.0,2.0,False,B
1445.0,False,1.0,False,False,85.0,negotiable,F?rstenfeldbruck_Kreis,True,3.0,1.0,False,A
1337.83,True,1.0,True,True,100.74,yes,Leipzig,True,4.0,3.0,False,B
790.0,True,1.0,False,False,71.0,no,Bochum,True,2.5,2.0,False,A_PLUS
1950.0,True,1.0,False,True,155.0,negotiable,Bad_T?lz_Wolfratshausen_Kreis,False,4.0,1.0,False,A
1900.78,True,1.0,True,False,110.19,negotiable,Berlin,True,3.0,0.0,False,B
815.0,True,1.0,False,True,81.5,negotiable,Leipzig_Kreis,True,2.0,0.0,False,A
1470.0,True,1.0,False,False,128.0,negotiable,Bonn,True,4.0,1.0,True,A_PLUS
1640.0,True,1.0,False,True,130.29,negotiable,Bochum,True,3.0,1.0,False,A_PLUS
2352.0,True,1.0,False,True,112.0,no,M?nchen,True,4.0,1.0,False,A
1742.4,True,1.0,True,True,105.6,negotiable,Berlin,True,3.0,5.0,False,C
2616.13,True,1.0,True,False,140.28,negotiable,Berlin,True,3.0,0.0,True,C
1640.0,True,1.0,False,True,80.0,negotiable,M?nchen,True,2.5,0.0,True,A_PLUS
1265.62,True,1.0,True,True,98.12,yes,Dresden,True,3.5,2.0,False,B
1135.0,True,1.0,True,True,95.71,negotiable,Mannheim,True,3.0,4.0,False,B
1424.13,True,1.0,True,True,113.93,yes,Leipzig,True,5.0,2.0,True,B
1199.0,False,1.0,True,False,121.36,negotiable,Leipzig,False,4.0,4.0,False,A
806.0,True,1.0,True,True,80.59,no,Stade_Kreis,True,3.0,2.0,False,A_PLUS
1277.0,True,1.0,True,True,91.2,no,Unterallg?u_Kreis,True,2.0,2.0,False,C
1061.91,True,1.0,True,True,78.66,yes,Leipzig,True,3.0,5.0,False,B
760.0,True,1.0,False,True,63.0,no,Rhein_Neckar_Kreis,True,2.0,3.0,False,B
1780.0,True,2.0,False,True,180.0,negotiable,Aachen,False,4.0,2.0,False,B
790.0,True,1.0,False,True,79.1,no,Bochum,True,2.0,0.0,False,B
1080.0,True,1.0,False,False,102.45,no,Dresden,True,4.0,6.0,False,B
900.0,True,1.0,False,False,78.12,negotiable,F?rstenfeldbruck_Kreis,False,2.0,1.0,True,A
2360.0,True,1.0,True,True,142.77,negotiable,Frankfurt_am_Main,True,4.0,5.0,False,A_PLUS
730.0,True,1.0,False,True,55.0,no,Pfaffenhofen_an_der_Ilm_Kreis,True,2.0,1.0,False,A_PLUS
839.7,True,14.0,False,True,62.2,no,Bonn,True,2.0,1.0,True,A_PLUS
1440.0,True,1.0,False,True,120.0,no,Mettmann_Kreis,True,4.0,3.0,False,A_PLUS
970.0,True,1.0,False,True,85.06,yes,Dresden,True,3.0,2.0,False,B
950.0,True,1.0,False,False,85.0,negotiable,Bremen,True,3.0,2.0,False,A
790.0,True,1.0,False,True,76.7,negotiable,M?nster,False,2.5,3.0,False,A_PLUS
1010.55,True,1.0,True,False,71.67,yes,Dresden,True,2.0,7.0,False,B
900.0,True,1.0,True,False,89.0,no,Westerwaldkreis,True,3.0,2.0,False,A
1492.77,True,1.0,True,True,81.35,negotiable,Berlin,True,3.0,2.0,False,B
789.0,True,1.0,False,True,66.97,negotiable,D?sseldorf,True,2.0,1.0,True,A
991.0,True,1.0,False,False,86.16,negotiable,Wiesbaden,False,3.0,2.0,False,A
1320.0,True,1.0,False,True,110.3,negotiable,Rhein_Erft_Kreis,True,4.0,0.0,False,A
820.33,True,1.0,True,True,87.83,negotiable,Dresden,True,3.0,0.0,False,A
860.0,True,1.0,True,True,70.65,negotiable,Mannheim,True,3.0,2.0,False,B
1000.0,True,1.0,True,False,93.65,negotiable,Leipzig,True,4.0,2.0,False,B
2137.5,True,2.0,True,True,142.5,yes,Ebersberg_Kreis,True,4.0,2.0,False,A
1700.0,True,1.0,False,True,119.7,no,Stuttgart,False,3.0,2.0,True,C
1342.11,True,1.0,True,True,114.7,yes,Leipzig,True,5.0,2.0,True,B
1126.0,True,1.0,True,True,102.0,negotiable,Oldenburg_Oldenburg,True,3.0,2.0,False,A
925.0,True,1.0,False,True,74.0,no,Potsdam_Mittelmark_Kreis,True,2.0,1.0,False,A
1485.65,True,1.0,True,True,116.98,yes,Leipzig,True,4.0,3.0,False,B
1175.82,True,1.0,True,False,92.95,negotiable,Frankfurt_am_Main,True,3.0,2.0,False,B
1200.0,True,1.0,False,True,75.0,no,M?nchen_Kreis,True,2.0,2.0,True,A
1555.0,True,1.0,True,True,111.74,negotiable,Hamburg,True,4.0,2.0,True,B
811.04,True,1.0,True,False,54.8,negotiable,Frankfurt_am_Main,True,2.0,0.0,True,B
693.69,True,1.0,True,False,48.51,yes,Dresden,True,2.0,2.0,False,B
1690.0,True,1.0,True,True,91.3,negotiable,Frankfurt_am_Main,True,3.0,2.0,False,A
945.0,True,1.0,True,True,73.2,no,Bremen,True,2.0,0.0,False,A
963.83,True,1.0,True,True,77.23,yes,Leipzig,True,3.0,1.0,False,B
995.0,True,1.0,True,True,91.0,no,Segeberg_Kreis,True,3.0,2.0,False,A_PLUS
747.0,True,1.0,True,True,93.39,negotiable,Magdeburg,False,3.0,3.0,False,D
810.0,True,1.0,False,True,70.0,negotiable,Potsdam_Mittelmark_Kreis,True,2.0,0.0,True,A
1248.0,True,1.0,False,False,104.0,no,Braunschweig,True,3.0,1.0,False,B
792.51,True,1.0,True,True,74.28,negotiable,Berlin,True,2.0,2.0,True,B
